"SITE_ID","RT_NLA","EPA_REG","WSA_ECO9","LAKE_ORIGIN","PTL","NTL","CHLA","SECMEAN"
"NLA06608-1367","SO-SO","Region_8","TPL","NATURAL",242,5338,184,0.12
"NLA06608-1368","TRASH","Region_6","SPL","MAN-MADE",110,1180,32.2,0.4
"NLA06608-1369","SO-SO","Region_4","SAP","MAN-MADE",50,679,30.08,0.63
"NLA06608-1370","SO-SO","Region_5","UMW","NATURAL",39,1063,16.16,1.45
"NLA06608-1372","SO-SO","Region_6","SPL","MAN-MADE",113,878,62.64,0.63
"NLA06608-1375","SO-SO","Region_5","TPL","MAN-MADE",79,2169,63.94,0.3
"NLA06608-1376","SO-SO","Region_7","SAP","MAN-MADE",18,346,9.12,1.89
"NLA06608-1377","REF","Region_8","WMT","NATURAL",8,101,0.87,6.3
"NLA06608-1380","SO-SO","Region_6","SPL","MAN-MADE",21,524,2.77,3.25
"NLA06608-1383","SO-SO","Region_5","UMW","NATURAL",35,1444,21.28,0.85
"NLA06608-1387","SO-SO","Region_5","UMW","NATURAL",25,994,9.97,0.95
"NLA06608-1389","SO-SO","Region_3","CPL","NATURAL",86,2506,52.85,0.7
"NLA06608-1390","SO-SO","Region_5","UMW","NATURAL",15,553,5.59,1.45
"NLA06608-1391","TRASH","Region_5","NAP","NATURAL",172,1360,67.97,0.33
"NLA06608-1396","SO-SO","Region_4","SAP","MAN-MADE",19,255,5.12,1.46
"NLA06608-1397","TRASH","Region_9","WMT","MAN-MADE",367,3559,210.6,0.2
"NLA06608-1398","REF","Region_5","UMW","NATURAL",24,624,7.87,0.8
"NLA06608-1401","SO-SO","Region_3","SAP","MAN-MADE",29,494,37.3,0.55
"NLA06608-1403","SO-SO","Region_8","SPL","MAN-MADE",7,389,1.93,2.35
"NLA06608-1413","SO-SO","Region_4","CPL","NATURAL",25,1614,49.2,0.5
"NLA06608-1414","SO-SO","Region_1","NAP","MAN-MADE",17,319,10.48,2
"NLA06608-1417","TRASH","Region_9","XER","MAN-MADE",7,251,1.99,4.4
"NLA06608-1420","SO-SO","Region_6","SPL","MAN-MADE",112,1154,13.38,0.18
"NLA06608-1421","SO-SO","Region_3","CPL","MAN-MADE",41,1100,75.6,0.36
"NLA06608-1425","SO-SO","Region_10","WMT","NATURAL",22,468,9.71,1.41
"NLA06608-1426","SO-SO","Region_10","WMT","NATURAL",35,557,12.37,1.15
"NLA06608-1432","SO-SO","Region_6","SPL","MAN-MADE",91,754,5.16,0.75
"NLA06608-1434","SO-SO","Region_5","UMW","NATURAL",5,458,2.31,3.75
"NLA06608-1435","TRASH","Region_5","TPL","NATURAL",50,1260,9.4,1.3
"NLA06608-1436","SO-SO","Region_6","SPL","MAN-MADE",20,478,4.72,1.14
"NLA06608-1439","SO-SO","Region_8","XER","MAN-MADE",12,273,3.33,3.35
"NLA06608-1445","TRASH","Region_10","XER","MAN-MADE",2670,5009,16.67,0.76
"NLA06608-1447","SO-SO","Region_5","UMW","NATURAL",13,760,5.09,2.1
"NLA06608-1450","SO-SO","Region_5","UMW","NATURAL",10,469,2.94,2.79
"NLA06608-1454","SO-SO","Region_5","TPL","NATURAL",125,2341,2.82,3.9
"NLA06608-1455","SO-SO","Region_8","WMT","MAN-MADE",37,429,8.8,2.4
"NLA06608-1460","SO-SO","Region_7","TPL","MAN-MADE",22,781,4.46,2.14
"NLA06608-1461","SO-SO","Region_9","XER","MAN-MADE",47,708,18.22,2.4
"NLA06608-1462","SO-SO","Region_8","NPL","MAN-MADE",450,1404,26.8,0.06
"NLA06608-1465","SO-SO","Region_3","SAP","MAN-MADE",5,497,5.97,3.9
"NLA06608-1469","SO-SO","Region_4","CPL","NATURAL",112,576,65.52,0.55
"NLA06608-1473","SO-SO","Region_10","WMT","MAN-MADE",8,181,2.01,4.24
"NLA06608-1476","SO-SO","Region_8","SPL","MAN-MADE",183,1891,62,0.2
"NLA06608-1481","SO-SO","Region_9","WMT","NATURAL",3,135,0.49,9.89
"NLA06608-1482","SO-SO","Region_4","CPL","MAN-MADE",80,1099,23.52,0.73
"NLA06608-1483","SO-SO","Region_8","WMT","MAN-MADE",13,274,4.81,2.78
"NLA06608-1484","REF","Region_6","SAP","MAN-MADE",11,105,3.8,1.76
"NLA06608-1487","SO-SO","Region_5","UMW","MAN-MADE",61,1071,14.59,1.93
"NLA06608-1488","SO-SO","Region_6","SPL","MAN-MADE",160,3409,114.62,0.28
"NLA06608-1489","SO-SO","Region_10","WMT","NATURAL",18,721,17.94,1.31
"NLA06608-1492","SO-SO","Region_5","TPL","MAN-MADE",41,758,40.61,0.61
"NLA06608-1496","SO-SO","Region_6","SPL","MAN-MADE",16,356,12.98,1.23
"NLA06608-1499","SO-SO","Region_5","UMW","NATURAL",17,483,2.91,4.05
"NLA06608-1504","SO-SO","Region_7","SAP","MAN-MADE",68,1199,155.08,0.46
"NLA06608-1508","SO-SO","Region_6","SPL","MAN-MADE",313,1680,11.74,0.38
"NLA06608-1510","SO-SO","Region_8","NPL","MAN-MADE",653,2440,28.48,0.87
"NLA06608-1511","SO-SO","Region_8","TPL","MAN-MADE",373,1446,5.24,2.45
"NLA06608-1515","SO-SO","Region_5","UMW","NATURAL",33,845,11.6,1.65
"NLA06608-1517","SO-SO","Region_3","SAP","MAN-MADE",14,339,6.38,1.46
"NLA06608-1521","SO-SO","Region_10","XER","MAN-MADE",113,1351,82.51,0.71
"NLA06608-1524","TRASH","Region_6","SPL","MAN-MADE",157,968,7.72,0.26
"NLA06608-1527","TRASH","Region_7","TPL","NATURAL",587,5191,381.6,0.09
"NLA06608-1529","SO-SO","Region_9","XER","MAN-MADE",55,649,6.04,1.2
"NLA06608-1532","SO-SO","Region_5","TPL","MAN-MADE",59,6203,42.66,1.06
"NLA06608-1537","SO-SO","Region_10","WMT","NATURAL",8,138,2.18,2.7
"NLA06608-1538","REF","Region_3","SAP","MAN-MADE",1,252,2.62,3.2
"NLA06608-1544","SO-SO","Region_7","TPL","NATURAL",69,2228,26.64,0.42
"NLA06608-1556","SO-SO","Region_5","TPL","NATURAL",19,474,5.39,2.32
"NLA06608-1560","SO-SO","Region_6","CPL","MAN-MADE",42,852,27.47,0.95
"NLA06608-1561","SO-SO","Region_3","SAP","MAN-MADE",10,263,3.24,2.1
"NLA06608-1562","SO-SO","Region_8","XER","MAN-MADE",16,348,2.94,2.32
"NLA06608-1564","SO-SO","Region_6","SPL","MAN-MADE",161,1159,12.8,0.15
"NLA06608-1568","SO-SO","Region_6","SPL","MAN-MADE",115,760,11.49,0.31
"NLA06608-1569","TRASH","Region_4","CPL","NATURAL",22,978,19.47,0.65
"NLA06608-1572","SO-SO","Region_4","TPL","MAN-MADE",26,420,4.45,1.83
"NLA06608-1575","SO-SO","Region_8","TPL","NATURAL",215,2503,88.2,0.68
"NLA06608-1576","SO-SO","Region_7","TPL","MAN-MADE",255,1344,68.4,0.38
"NLA06608-1577","SO-SO","Region_9","WMT","MAN-MADE",16,484,4.32,3.85
"NLA06608-1578","SO-SO","Region_8","NPL","MAN-MADE",110,1062,23.36,1.13
"NLA06608-1579","SO-SO","Region_5","UMW","NATURAL",7,501,2.26,3.49
"NLA06608-1593","SO-SO","Region_9","WMT","MAN-MADE",126,746,6.34,2.75
"NLA06608-1595","SO-SO","Region_8","SPL","MAN-MADE",18,392,5,1.55
"NLA06608-1596","TRASH","Region_7","SPL","NATURAL",1491,26100,684,0.15
"NLA06608-1600","SO-SO","Region_8","NPL","MAN-MADE",63,1011,13.01,1.95
"NLA06608-1602","SO-SO","Region_9","WMT","MAN-MADE",18,474,4.25,2.13
"NLA06608-1608","REF","Region_6","CPL","MAN-MADE",64,498,31.52,0.83
"NLA06608-1617","TRASH","Region_10","WMT","NATURAL",45,239,7.25,3.27
"NLA06608-1623","SO-SO","Region_6","CPL","MAN-MADE",134,1231,24.16,0.25
"NLA06608-1626","SO-SO","Region_5","UMW","NATURAL",30,623,14.78,1.95
"NLA06608-1630","SO-SO","Region_6","SPL","MAN-MADE",57,806,21.44,0.41
"NLA06608-1631","SO-SO","Region_8","XER","MAN-MADE",130,1209,27.58,1.82
"NLA06608-1633","SO-SO","Region_8","WMT","MAN-MADE",19,366,1.52,3.6
"NLA06608-1637","SO-SO","Region_3","NAP","NATURAL",32,440,19.87,1.45
"NLA06608-1638","SO-SO","Region_10","WMT","NATURAL",6,50,0.23,15.13
"NLA06608-1640","SO-SO","Region_7","SAP","MAN-MADE",90,777,23.2,0.78
"NLA06608-1641","TRASH","Region_9","WMT","NATURAL",185,845,5.66,0.19
"NLA06608-1643","REF","Region_5","UMW","NATURAL",5,488,3.17,3.5
"NLA06608-1652","SO-SO","Region_4","SAP","MAN-MADE",99,848,57.2,0.78
"NLA06608-1654","REF","Region_5","UMW","MAN-MADE",6,354,4.48,2.25
"NLA06608-1655","TRASH","Region_8","NPL","MAN-MADE",896,12241,542.4,0.12
"NLA06608-1668","SO-SO","Region_4","SAP","MAN-MADE",18,269,18.72,1.3
"NLA06608-1672","SO-SO","Region_6","SPL","MAN-MADE",15,510,100.51,0.15
"NLA06608-1674","SO-SO","Region_8","WMT","NATURAL",35,1043,2.32,3.05
"NLA06608-1675","TRASH","Region_8","WMT","MAN-MADE",16,521,3.01,4.05
"NLA06608-1679","SO-SO","Region_5","UMW","NATURAL",8,366,3.12,2.25
"NLA06608-1684","SO-SO","Region_5","TPL","MAN-MADE",17,338,22.63,1.13
"NLA06608-1687","TRASH","Region_8","TPL","NATURAL",441,918,7.52,0.75
"NLA06608-1690","SO-SO","Region_5","UMW","NATURAL",7,317,4.63,3.95
"NLA06608-1695","SO-SO","Region_8","WMT","NATURAL",19,216,2.29,3.7
"NLA06608-1703","SO-SO","Region_8","TPL","NATURAL",304,1949,32.04,0.28
"NLA06608-1704","SO-SO","Region_7","TPL","MAN-MADE",42,749,32.54,1
"NLA06608-1707","SO-SO","Region_5","UMW","NATURAL",8,723,3.29,1.5
"NLA06608-1711","SO-SO","Region_4","SAP","MAN-MADE",12,190,4.32,2.2
"NLA06608-1715","SO-SO","Region_6","SPL","MAN-MADE",27,582,8.8,1.43
"NLA06608-1717","REF","Region_9","XER","MAN-MADE",3,79,0.88,5.5
"NLA06608-1719","SO-SO","Region_8","NPL","NATURAL",441,8803,314.61,0.11
"NLA06608-1723","SO-SO","Region_8","SPL","MAN-MADE",1537,3516,2.82,3.45
"NLA06608-1724","SO-SO","Region_5","TPL","MAN-MADE",55,1282,55.28,0.91
"NLA06608-1733","SO-SO","Region_4","CPL","NATURAL",45,3516,167.04,0.35
"NLA06608-1735","REF","Region_6","CPL","NATURAL",60,679,62,0.95
"NLA06608-1736","SO-SO","Region_7","TPL","NATURAL",53,1453,38.2,0.58
"NLA06608-1739","REF","Region_8","WMT","MAN-MADE",7,157,2.23,5
"NLA06608-1740","SO-SO","Region_7","TPL","MAN-MADE",67,949,27.13,0.76
"NLA06608-1741","SO-SO","Region_3","CPL","MAN-MADE",124,2156,116.4,0.36
"NLA06608-1742","SO-SO","Region_5","UMW","NATURAL",7,244,3.37,4.95
"NLA06608-1748","REF","Region_8","WMT","MAN-MADE",4,131,1.04,5.25
"NLA06608-1755","SO-SO","Region_5","UMW","NATURAL",30,646,12.6,1.35
"NLA06608-1771","SO-SO","Region_5","UMW","NATURAL",10,603,4.03,2.7
"NLA06608-1775","TRASH","Region_4","SAP","MAN-MADE",74,548,23,0.65
"NLA06608-1781","SO-SO","Region_9","XER","MAN-MADE",58,789,14.56,0.6
"NLA06608-1782","SO-SO","Region_5","UMW","MAN-MADE",32,606,17.44,0.95
"NLA06608-1789","SO-SO","Region_3","SAP","MAN-MADE",1,501,1.35,4.25
"NLA06608-1791","TRASH","Region_4","SAP","MAN-MADE",5,401,1.63,4.03
"NLA06608-1793","REF","Region_10","WMT","NATURAL",9,139,5.45,2.75
"NLA06608-1800","REF","Region_6","CPL","NATURAL",50,604,43.63,0.78
"NLA06608-1802","SO-SO","Region_5","UMW","MAN-MADE",18,536,5.3,1.32
"NLA06608-1804","SO-SO","Region_6","SPL","MAN-MADE",120,699,25.47,1.15
"NLA06608-1808","REF","Region_6","CPL","MAN-MADE",48,628,24.8,0.64
"NLA06608-1810","SO-SO","Region_8","XER","MAN-MADE",69,611,14.8,0.55
"NLA06608-1811","SO-SO","Region_8","NPL","NATURAL",27,1558,7.57,1.41
"NLA06608-1812","SO-SO","Region_4","SAP","MAN-MADE",61,303,13.68,2.3
"NLA06608-1818","SO-SO","Region_8","WMT","NATURAL",7,90,0.68,8.09
"NLA06608-1821","TRASH","Region_3","SAP","MAN-MADE",255,2709,197,0.3
"NLA06608-1824","SO-SO","Region_7","SPL","MAN-MADE",56,824,25.14,0.65
"NLA06608-1825","SO-SO","Region_4","CPL","NATURAL",45,839,16.2,0.55
"NLA06608-1835","SO-SO","Region_5","UMW","NATURAL",16,531,2.02,3.05
"NLA06608-1836","SO-SO","Region_7","SPL","NATURAL",246,2766,115.56,0.36
"NLA06608-1839","SO-SO","Region_4","CPL","MAN-MADE",20,420,12.53,1.03
"NLA06608-1840","SO-SO","Region_5","TPL","MAN-MADE",216,1361,72,0.46
"NLA06608-1851","SO-SO","Region_8","SPL","MAN-MADE",23,228,6.05,1.07
"NLA06608-1856","SO-SO","Region_8","NPL","MAN-MADE",1129,3159,5.18,0.5
"NLA06608-1857","TRASH","Region_8","WMT","NATURAL",1,198,1.25,6.95
"NLA06608-1861","TRASH","Region_4","CPL","NATURAL",75,1216,55.32,0.65
"NLA06608-1862","TRASH","Region_9","XER","MAN-MADE",520,1058,7.6,0.1
"NLA06608-1863","REF","Region_6","CPL","MAN-MADE",32,506,61.44,1.33
"NLA06608-1867","SO-SO","Region_5","UMW","NATURAL",74,2091,52.7,0.53
"NLA06608-1868","SO-SO","Region_6","SPL","MAN-MADE",21,676,9,1.8
"NLA06608-1871","REF","Region_4","SAP","MAN-MADE",5,139,3.1,1.65
"NLA06608-1873","SO-SO","Region_10","WMT","NATURAL",1,37,0.46,9.16
"NLA06608-1874","SO-SO","Region_8","WMT","MAN-MADE",26,374,3.56,2.85
"NLA06608-1879","SO-SO","Region_8","TPL","NATURAL",328,4075,109.66,0.27
"NLA06608-1884","SO-SO","Region_7","TPL","MAN-MADE",39,2334,25.44,0.95
